time,tick,attack,damage,variant,state,phase,upperWeight,lowerWeight,bladeX,bladeY,bladeZ,cast,abilityDamage,baseState,basePhase,deaths,timeScale,heldAnchor,flyingAnchors,handX,handY,handZ
0.008333,0,0,0,-1,other,0.008333,0.000000,0.000000,-0.117356,0.274904,-0.488306,0,0,1160858440,0.000920,0,1.000000,1,0,-0.329035,0.889834,0.020858
0.016667,0,0,0,-1,other,0.000000,0.000000,0.000000,-0.117334,0.274901,-0.488358,0,0,1160858440,0.000000,0,1.000000,1,0,-0.329000,0.889821,0.020846
0.025000,0,0,0,-1,other,0.005556,0.002272,0.000000,-0.117356,0.274904,-0.488306,0,0,1160858440,0.000920,0,1.000000,1,0,-0.329061,0.889746,0.020955
0.033333,0,0,0,-1,other,0.011111,0.008916,0.000000,-0.117378,0.274908,-0.488254,0,0,1160858440,0.001840,0,1.000000,1,0,-0.329164,0.889498,0.021238
0.041667,0,0,0,-1,other,0.016667,0.019676,0.000000,-0.117399,0.274912,-0.488201,0,0,1160858440,0.002760,0,1.000000,1,0,-0.329297,0.889081,0.021678
0.050000,1,0,0,-1,other,0.022222,0.034294,0.000000,-0.117421,0.274917,-0.488149,0,0,1160858440,0.003680,0,1.000000,1,0,-0.329446,0.888497,0.022253
0.058333,1,0,0,-1,other,0.027778,0.052512,0.000000,-0.117442,0.274922,-0.488097,0,0,1160858440,0.004600,0,1.000000,1,0,-0.329592,0.887746,0.022944
0.066667,1,0,0,-1,other,0.033333,0.074074,0.000000,-0.117463,0.274928,-0.488044,0,0,1160858440,0.005520,0,1.000000,1,0,-0.329715,0.886828,0.023731
0.075000,1,0,0,-1,other,0.038889,0.098723,0.000000,-0.117484,0.274934,-0.487992,0,0,1160858440,0.006440,0,1.000000,1,0,-0.329791,0.885740,0.024594
0.083333,2,0,0,-1,other,0.044444,0.126200,0.000000,-0.117504,0.274940,-0.487939,0,0,1160858440,0.007360,0,1.000000,1,0,-0.329797,0.884479,0.025512
0.091667,2,0,0,-1,other,0.050000,0.156250,0.000000,-0.117525,0.274947,-0.487887,0,0,1160858440,0.008280,0,1.000000,1,0,-0.329707,0.883041,0.026466
0.100000,2,0,0,-1,other,0.055556,0.188615,0.000000,-0.117545,0.274953,-0.487835,0,0,1160858440,0.009200,0,1.000000,1,0,-0.329496,0.881424,0.027435
0.108333,2,0,0,-1,other,0.061111,0.223037,0.000000,-0.117566,0.274960,-0.487783,0,0,1160858440,0.010120,0,1.000000,1,0,-0.329139,0.879626,0.028398
0.116667,3,0,0,-1,other,0.066667,0.259259,0.000000,-0.117587,0.274967,-0.487732,0,0,1160858440,0.011040,0,1.000000,1,0,-0.328614,0.877646,0.029336
0.125000,3,0,0,-1,other,0.072222,0.297025,0.000000,-0.117607,0.274973,-0.487680,0,0,1160858440,0.011960,0,1.000000,1,0,-0.327899,0.875486,0.030230
0.133333,3,0,0,-1,other,0.077778,0.336077,0.000000,-0.117628,0.274980,-0.487629,0,0,1160858440,0.012880,0,1.000000,1,0,-0.326974,0.873148,0.031059
0.141667,3,0,0,-1,other,0.083333,0.376157,0.000000,-0.117649,0.274986,-0.487579,0,0,1160858440,0.013800,0,1.000000,1,0,-0.325823,0.870638,0.031806
0.150000,4,0,0,-1,other,0.088889,0.417010,0.000000,-0.117670,0.274992,-0.487528,0,0,1160858440,0.014720,0,1.000000,1,0,-0.324435,0.867967,0.032455
0.158333,4,0,0,-1,other,0.094444,0.458376,0.000000,-0.117691,0.274998,-0.487478,0,0,1160858440,0.015640,0,1.000000,1,0,-0.322796,0.865145,0.033000
0.166667,4,0,0,-1,other,0.100000,0.500000,0.000000,-0.117713,0.275004,-0.487429,0,0,1160858440,0.016560,0,1.000000,1,0,-0.320909,0.862205,0.033436
0.175000,4,0,0,-1,other,0.105556,0.541624,0.000000,-0.117734,0.275009,-0.487380,0,0,1160858440,0.017480,0,1.000000,1,0,-0.318791,0.859200,0.033741
0.183333,5,0,0,-1,other,0.111111,0.582990,0.000000,-0.117756,0.275013,-0.487332,0,0,1160858440,0.018400,0,1.000000,1,0,-0.316465,0.856193,0.033897
0.191667,5,0,0,-1,other,0.116667,0.623843,0.000000,-0.117779,0.275017,-0.487284,0,0,1160858440,0.019320,0,1.000000,1,0,-0.313964,0.853263,0.033883
0.200000,5,0,0,-1,other,0.122222,0.663923,0.000000,-0.117802,0.275021,-0.487237,0,0,1160858440,0.020240,0,1.000000,1,0,-0.311329,0.850500,0.033678
0.208333,5,0,0,-1,other,0.127778,0.702975,0.000000,-0.117825,0.275023,-0.487190,0,0,1160858440,0.021160,0,1.000000,1,0,-0.308607,0.848009,0.033264
0.216667,6,0,0,-1,other,0.133333,0.740741,0.000000,-0.117848,0.275025,-0.487145,0,0,1160858440,0.022080,0,1.000000,1,0,-0.305851,0.845909,0.032625
0.225000,6,0,0,-1,other,0.138889,0.776963,0.000000,-0.117873,0.275026,-0.487101,0,0,1160858440,0.023000,0,1.000000,1,0,-0.302995,0.844287,0.031887
0.233333,6,0,0,-1,other,0.144445,0.811386,0.000000,-0.117898,0.275027,-0.487057,0,0,1160858440,0.023920,0,1.000000,1,0,-0.299972,0.843179,0.031116
0.241667,6,0,0,-1,other,0.150000,0.843750,0.000000,-0.117923,0.275028,-0.487014,0,0,1160858440,0.024840,0,1.000000,1,0,-0.296846,0.842635,0.030189
0.250000,7,0,0,-1,other,0.155556,0.873800,0.000000,-0.117948,0.275028,-0.486972,0,0,1160858440,0.025760,0,1.000000,1,0,-0.293687,0.842682,0.028954
0.258333,7,0,0,-1,other,0.161111,0.901278,0.000000,-0.117974,0.275028,-0.486930,0,0,1160858440,0.026680,0,1.000000,1,0,-0.290680,0.843421,0.027647
0.266667,7,0,0,-1,other,0.166667,0.925926,0.000000,-0.118000,0.275028,-0.486889,0,0,1160858440,0.027600,0,1.000000,1,0,-0.287994,0.844906,0.026462
0.275000,7,0,0,-1,other,0.172222,0.947488,0.000000,-0.118026,0.275028,-0.486848,0,0,1160858440,0.028520,0,1.000000,1,0,-0.285672,0.847058,0.025149
0.283333,8,0,0,-1,other,0.177778,0.965707,0.000000,-0.118052,0.275028,-0.486807,0,0,1160858440,0.029440,0,1.000000,1,0,-0.283755,0.849757,0.023438
0.291667,8,0,0,-1,other,0.183333,0.980324,0.000000,-0.118079,0.275027,-0.486767,0,0,1160858440,0.030360,0,1.000000,1,0,-0.282163,0.852951,0.021368
0.300000,8,0,0,-1,other,0.188889,0.991084,0.000000,-0.118106,0.275027,-0.486727,0,0,1160858440,0.031280,0,1.000000,1,0,-0.280762,0.856630,0.019122
0.308333,8,0,0,-1,other,0.194444,0.997728,0.000000,-0.118133,0.275026,-0.486688,0,0,1160858440,0.032200,0,1.000000,1,0,-0.279498,0.860700,0.016640
0.316667,9,0,0,-1,other,0.200000,1.000000,0.000000,-0.118160,0.275025,-0.486650,0,0,1160858440,0.033120,0,1.000000,1,0,-0.278328,0.865053,0.013860
0.325000,9,0,0,-1,other,0.205556,1.000000,0.000000,-0.118187,0.275024,-0.486612,0,0,1160858440,0.034040,0,1.000000,1,0,-0.277041,0.869581,0.010509
0.333333,9,0,0,-1,other,0.211111,1.000000,0.000000,-0.118216,0.275023,-0.486575,0,0,1160858440,0.034960,0,1.000000,1,0,-0.275494,0.874232,0.006523
0.341667,9,0,0,-1,other,0.216667,1.000000,0.000000,-0.118243,0.275021,-0.486538,0,0,1160858440,0.035880,0,1.000000,1,0,-0.273739,0.878973,0.002156
0.350000,10,0,0,-1,other,0.222222,1.000000,0.000000,-0.118271,0.275020,-0.486502,0,0,1160858440,0.036800,0,1.000000,1,0,-0.271816,0.883761,-0.002337
0.358333,10,0,0,-1,other,0.227778,1.000000,0.000000,-0.118299,0.275018,-0.486467,0,0,1160858440,0.037720,0,1.000000,1,0,-0.269821,0.888502,-0.007103
0.366667,10,0,0,-1,other,0.233333,1.000000,0.000000,-0.118328,0.275017,-0.486432,0,0,1160858440,0.038640,0,1.000000,1,0,-0.267814,0.893089,-0.012222
0.375000,10,0,0,-1,other,0.238889,1.000000,0.000000,-0.118356,0.275015,-0.486398,0,0,1160858440,0.039560,0,1.000000,1,0,-0.265766,0.897449,-0.017334
0.383333,11,0,0,-1,other,0.244444,1.000000,0.000000,-0.118385,0.275013,-0.486365,0,0,1160858440,0.040480,0,1.000000,1,0,-0.263644,0.901503,-0.022096
0.391667,11,0,0,-1,other,0.250000,1.000000,0.000000,-0.118414,0.275012,-0.486332,0,0,1160858440,0.041400,0,1.000000,1,0,-0.261513,0.905212,-0.026516
0.400000,11,0,0,-1,other,0.255556,1.000000,0.000000,-0.118443,0.275010,-0.486299,0,0,1160858440,0.042320,0,1.000000,1,0,-0.259442,0.908566,-0.030849
0.408333,11,0,0,-1,other,0.261111,1.000000,0.000000,-0.118472,0.275008,-0.486268,0,0,1160858440,0.043240,0,1.000000,1,0,-0.257404,0.911519,-0.035115
0.416667,12,0,0,-1,other,0.266667,1.000000,0.000000,-0.118501,0.275005,-0.486237,0,0,1160858440,0.044160,0,1.000000,1,0,-0.255378,0.914023,-0.039324
0.425000,12,0,0,-1,other,0.272222,1.000000,0.000000,-0.118530,0.275003,-0.486207,0,0,1160858440,0.045080,0,1.000000,1,0,-0.253352,0.916031,-0.043481
0.433333,12,0,0,-1,other,0.277778,1.000000,0.000000,-0.118560,0.275001,-0.486178,0,0,1160858440,0.046000,0,1.000000,1,0,-0.251319,0.917497,-0.047585
0.441667,12,0,0,-1,other,0.283333,1.000000,0.000000,-0.118589,0.274999,-0.486149,0,0,1160858440,0.046920,0,1.000000,1,0,-0.249284,0.918376,-0.051633
