time,tick,attack,damage,variant,state,phase,upperWeight,lowerWeight,bladeX,bladeY,bladeZ,cast,abilityDamage,baseState,basePhase,deaths,timeScale,heldAnchor,flyingAnchors,handX,handY,handZ
1.033333,30,0,0,-1,other,0.666667,1.000000,0.000000,0.828567,1.479089,0.823390,0,0,1160858440,0.110400,0,1.000000,1,0,-0.419874,0.883015,0.010998
1.066667,31,0,0,-1,other,0.688889,1.000000,0.000000,1.099330,1.337862,0.559732,0,0,1160858440,0.114080,0,1.000000,1,0,-0.432542,0.865592,0.045004
1.100000,32,0,0,-1,other,0.711111,1.000000,0.000000,1.223490,1.195596,0.273396,0,0,1160858440,0.117760,0,1.000000,1,0,-0.440114,0.852080,0.078789
1.133333,33,0,0,-1,other,0.733333,1.000000,0.000000,1.241217,1.082653,0.040205,0,0,1160858440,0.121440,0,1.000000,1,0,-0.439692,0.842081,0.113439
1.166667,34,0,0,-1,other,0.755556,1.000000,0.000000,1.212438,0.996855,-0.056849,0,0,1160858440,0.125120,0,1.000000,1,0,-0.429446,0.832147,0.145825
1.200000,35,0,0,-1,other,0.777778,1.000000,0.000000,1.176543,0.910955,-0.111949,0,0,1160858440,0.128800,0,1.000000,1,0,-0.414471,0.822382,0.172160
1.233333,36,0,0,-1,other,0.800000,1.000000,0.000000,1.139175,0.812982,-0.145050,0,0,1160858440,0.132480,0,1.000000,1,0,-0.398604,0.813597,0.192461
1.266667,37,0,0,-1,other,0.822222,0.965706,0.000000,1.105388,0.730505,-0.130120,0,0,1160858440,0.136160,0,1.000000,1,0,-0.381767,0.809041,0.212481
1.300000,38,0,0,-1,other,0.844445,0.873800,0.000000,1.082048,0.709290,-0.033912,0,0,1160858440,0.139840,0,1.000000,1,0,-0.360461,0.812275,0.240058
1.333333,39,0,0,-1,other,0.866667,0.740741,0.000000,1.048576,0.776503,0.136699,0,0,1160858440,0.143520,0,1.000000,1,0,-0.334328,0.824900,0.275326
1.366667,40,0,0,-1,other,0.888889,0.582990,0.000000,0.958995,0.921588,0.348294,0,0,1160858440,0.147200,0,1.000000,1,0,-0.304139,0.848413,0.315454
1.400000,41,0,0,-1,other,0.911111,0.417010,0.000000,0.776907,1.090932,0.551200,0,0,1160858440,0.150880,0,1.000000,1,0,-0.271766,0.882401,0.355347
1.433333,42,0,0,-1,other,0.933333,0.259259,0.000000,0.517475,1.225818,0.696949,0,0,1160858440,0.154560,0,1.000000,1,0,-0.239843,0.923258,0.389498
1.466667,43,0,0,-1,other,0.955556,0.126200,0.000000,0.250837,1.300629,0.763837,0,0,1160858440,0.158240,0,1.000000,1,0,-0.211535,0.964136,0.413971
1.500000,44,0,0,-1,other,0.977778,0.034294,0.000000,0.051187,1.328200,0.774168,0,0,1160858440,0.161920,0,1.000000,1,0,-0.190763,0.996013,0.427894
1.533333,45,0,0,-1,other,1.000000,0.000000,0.000000,-0.028494,1.330263,0.769931,0,0,1160858440,0.165600,0,1.000000,1,0,-0.175613,1.007277,0.432804
1.566667,46,0,0,-1,other,1.022222,0.000000,0.000000,-0.031210,1.356732,0.770691,0,0,1160858440,0.169280,0,1.000000,1,0,-0.172444,1.008726,0.437960
1.600000,47,0,0,-1,other,1.044445,0.000000,0.000000,-0.029072,1.376212,0.776684,0,0,1160858440,0.172960,0,1.000000,1,0,-0.174135,1.012231,0.445696
1.633333,48,0,0,-1,other,1.066667,0.000000,0.000000,-0.033360,1.390363,0.786984,0,0,1160858440,0.176640,0,1.000000,1,0,-0.177336,1.021306,0.457674
1.666667,49,0,0,-1,other,1.088889,0.000000,0.000000,-0.040433,1.399333,0.798252,0,0,1160858440,0.180320,0,1.000000,1,0,-0.180924,1.031650,0.470959
1.700000,50,0,0,-1,other,1.111111,0.000000,0.000000,-0.044766,1.406876,0.809467,0,0,1160858440,0.184000,0,1.000000,1,0,-0.184858,1.041392,0.484586
1.733333,51,0,0,-1,other,1.133334,0.000000,0.000000,-0.045990,1.412267,0.820985,0,0,1160858440,0.187680,0,1.000000,1,0,-0.187866,1.050098,0.498720
1.766667,52,0,0,-1,other,1.155556,0.000000,0.000000,-0.044958,1.414108,0.831943,0,0,1160858440,0.191360,0,1.000000,1,0,-0.189887,1.056680,0.512316
1.800000,53,0,0,-1,other,1.177778,0.000000,0.000000,-0.041454,1.411889,0.841655,0,0,1160858440,0.195040,0,1.000000,1,0,-0.189788,1.060936,0.524487
1.833333,54,0,0,-1,other,1.200001,0.000000,0.000000,-0.040292,1.406961,0.849817,0,0,1160858440,0.198720,0,1.000000,1,0,-0.189099,1.062331,0.534721
1.866667,55,0,0,-1,other,1.222223,0.000000,0.000000,-0.048726,1.398100,0.857115,0,0,1160858440,0.202400,0,1.000000,1,0,-0.190207,1.061042,0.543256
1.900000,56,0,0,-1,other,1.244445,0.000000,0.000000,-0.066207,1.383349,0.863792,0,0,1160858440,0.206080,0,1.000000,1,0,-0.192339,1.057519,0.550190
1.933333,57,0,0,-1,other,1.266667,0.000000,0.000000,-0.089136,1.363773,0.868963,0,0,1160858440,0.209760,0,1.000000,1,0,-0.195675,1.051561,0.554918
1.966667,58,0,0,-1,other,1.288890,0.000000,0.000000,-0.113257,1.342733,0.871715,0,0,1160858440,0.213440,0,1.000000,1,0,-0.199463,1.044694,0.557253
2.000000,59,0,0,-1,other,1.311112,0.000000,0.000000,-0.136451,1.326835,0.871179,0,0,1160858440,0.217120,0,1.000000,1,0,-0.202977,1.039259,0.557403
2.033333,60,0,0,-1,other,1.333334,0.000000,0.000000,-0.154577,1.317425,0.866670,0,0,1160858440,0.220800,0,1.000000,1,0,-0.205514,1.034978,0.554636
2.066667,61,0,0,-1,other,1.355556,0.000000,0.000000,-0.160185,1.318375,0.860207,0,0,1160858440,0.224480,0,1.000000,1,0,-0.206266,1.032005,0.549734
2.100000,62,0,0,-1,other,1.377779,0.000000,0.000000,-0.155428,1.334692,0.851283,0,0,1160858440,0.228160,0,1.000000,1,0,-0.205661,1.032133,0.542531
2.133333,63,0,0,-1,other,1.400001,0.000000,0.000000,-0.146326,1.358858,0.841091,0,0,1160858440,0.231840,0,1.000000,1,0,-0.204993,1.034758,0.534231
2.166667,64,0,0,-1,other,1.422223,0.000000,0.000000,-0.135770,1.381942,0.830535,0,0,1160858440,0.235520,0,1.000000,1,0,-0.203615,1.039058,0.524977
2.200000,65,0,0,-1,other,1.444446,0.000000,0.000000,-0.129393,1.398620,0.819485,0,0,1160858440,0.239200,0,1.000000,1,0,-0.201059,1.044325,0.514871
2.233333,66,0,0,-1,other,1.466668,0.000000,0.000000,-0.126551,1.408068,0.808471,0,0,1160858440,0.242880,0,1.000000,1,0,-0.199150,1.049823,0.504408
2.266667,67,0,0,-1,other,1.488890,0.000000,0.000000,-0.120819,1.412974,0.797994,0,0,1160858440,0.246560,0,1.000000,1,0,-0.197962,1.054968,0.494101
2.300000,68,0,0,-1,other,1.511112,0.000000,0.000000,-0.112279,1.413409,0.788319,0,0,1160858440,0.250240,0,1.000000,1,0,-0.196711,1.059212,0.484203
2.333333,69,0,0,-1,other,1.533335,0.000000,0.000000,-0.101570,1.407926,0.779788,0,0,1160858440,0.253920,0,1.000000,1,0,-0.195423,1.060825,0.474513
2.366667,70,0,0,-1,other,1.555557,0.000000,0.000000,-0.088211,1.396508,0.772669,0,0,1160858440,0.257600,0,1.000000,1,0,-0.193559,1.059539,0.465126
2.400000,71,0,0,-1,other,1.577779,0.000000,0.000000,-0.075923,1.375371,0.767549,0,0,1160858440,0.261280,0,1.000000,1,0,-0.191528,1.054955,0.456582
2.433333,72,0,0,-1,other,1.600002,0.000000,0.000000,-0.066250,1.343421,0.763636,0,0,1160858440,0.264960,0,1.000000,1,0,-0.188679,1.047982,0.448152
2.466667,73,0,0,-1,other,1.622224,0.000000,0.000000,-0.058542,1.305036,0.761382,0,0,1160858440,0.268640,0,1.000000,1,0,-0.185578,1.040246,0.440798
2.500000,74,0,0,-1,other,1.644446,0.000000,0.000000,-0.052696,1.267481,0.760614,0,0,1160858440,0.272320,0,1.000000,1,0,-0.182932,1.033536,0.435464
2.533333,75,0,0,-1,other,1.666668,0.000000,0.000000,-0.045743,1.235753,0.761065,0,0,1160858440,0.276000,0,1.000000,1,0,-0.180128,1.027599,0.431830
2.566667,76,0,0,-1,other,1.688891,0.000000,0.000000,-0.035678,1.210100,0.762954,0,0,1160858440,0.279680,0,1.000000,1,0,-0.176905,1.021906,0.429657
2.600000,77,0,0,-1,other,1.711113,0.000000,0.000000,-0.024893,1.193272,0.765713,0,0,1160858440,0.283360,0,1.000000,1,0,-0.174130,1.017138,0.429077
2.633333,78,0,0,-1,other,1.733335,0.000000,0.000000,-0.015429,1.188308,0.768961,0,0,1160858440,0.287040,0,1.000000,1,0,-0.172244,1.014242,0.430284
